,loc
0,https://www.yna.co.kr/view/AKR20201219050251007
1,https://www.yna.co.kr/view/AKR20201219054200085
2,https://www.yna.co.kr/view/AKR20201219054000004
3,https://www.yna.co.kr/view/AKR20201219053900065
4,https://www.yna.co.kr/view/AKR20201219053800064
5,https://www.yna.co.kr/view/AKR20201219053700007
6,https://www.yna.co.kr/view/AKR20201219053600007
7,https://www.yna.co.kr/view/AKR20201219053500004
8,https://www.yna.co.kr/view/AKR20201219053100108
9,https://www.yna.co.kr/view/AKR20201219052900003
10,https://www.yna.co.kr/view/AKR20201219053000084
11,https://www.yna.co.kr/view/AKR20201216180653007
12,https://www.yna.co.kr/view/AKR20201219052800052
13,https://www.yna.co.kr/view/AKR20201219052451004
14,https://www.yna.co.kr/view/AKR20201219052700007
15,https://www.yna.co.kr/view/AKR20201219047951007
16,https://www.yna.co.kr/view/AKR20201219052400004
17,https://www.yna.co.kr/view/AKR20201219052300004
18,https://www.yna.co.kr/view/AKR20201219052200054
19,https://www.yna.co.kr/view/AKR20201219051200009
20,https://www.yna.co.kr/view/AKR20201219026652052
21,https://www.yna.co.kr/view/AKR20201219051600007
22,https://www.yna.co.kr/view/AKR20201219051500002
23,https://www.yna.co.kr/view/AKR20201219051100051
24,https://www.yna.co.kr/view/AKR20201219039651062
25,https://www.yna.co.kr/view/AKR20201219050800060
26,https://www.yna.co.kr/view/AKR20201219036651056
27,https://www.yna.co.kr/view/AKR20201219049100009
28,https://www.yna.co.kr/view/AKR20201219050500504
29,https://www.yna.co.kr/view/AKR20201218102800030
30,https://www.yna.co.kr/view/AKR20201219050200007
31,https://www.yna.co.kr/view/AKR20201219049900065
32,https://www.yna.co.kr/view/AKR20201219048600530
33,https://www.yna.co.kr/view/AKR20201219048400504
34,https://www.yna.co.kr/view/AKR20201219049200007
35,https://www.yna.co.kr/view/AKR20201219048300055
36,https://www.yna.co.kr/view/AKR20201219048100065
37,https://www.yna.co.kr/view/AKR20201219048000504
38,https://www.yna.co.kr/view/AKR20201219047900007
39,https://www.yna.co.kr/view/AKR20201219047700007
40,https://www.yna.co.kr/view/AKR20201219047000083
41,https://www.yna.co.kr/view/AKR20201219047200063
42,https://www.yna.co.kr/view/AKR20201219046000064
43,https://www.yna.co.kr/view/AKR20201219046700053
44,https://www.yna.co.kr/view/AKR20201219046800007
45,https://www.yna.co.kr/view/AKR20201219039200073
46,https://www.yna.co.kr/view/AKR20201219045500530
47,https://www.yna.co.kr/view/AKR20201219046400051
48,https://www.yna.co.kr/view/AKR20201219045800054
49,https://www.yna.co.kr/view/AKR20201219045000009
50,https://www.yna.co.kr/view/AKR20201219037151074
51,https://www.yna.co.kr/view/AKR20201219040300083
52,https://www.yna.co.kr/view/AKR20201219027451064
53,https://www.yna.co.kr/view/AKR20201219042351530
54,https://www.yna.co.kr/view/AKR20201219045100064
55,https://www.yna.co.kr/view/AKR20201219043500061
56,https://www.yna.co.kr/view/AKR20201219043700009
57,https://www.yna.co.kr/view/AKR20201219042800077
58,https://www.yna.co.kr/view/AKR20201219045400062
59,https://www.yna.co.kr/view/AKR20201219043400530
